"module","rva","ghidra_name","size","kind","confidence","subsystem","new_name","notes"
"SC3U.exe","0x00403019","FUN_00403019","667","fun","C2","S1-host","sc3_app_dtor","tears down members at +0x3d/+0x69/+0x6a/+0x12; crash-handler teardown FUN_00401039; if byte+0x166!=0 rebuilds argv from cmdline vtable (+0xc count,+0x3c get) and _spawnv(1,...) self-relaunch; destroys cmdline (FUN_00469229 @+0x5a) and string members"
"SC3U.exe","0x004032f0","FUN_004032f0","288","fun","C0","","",""
"SC3U.exe","0x00403410","FUN_00403410","195","fun","C0","","",""
"SC3U.exe","0x004034d3","FUN_004034d3","146","fun","C0","","",""
"SC3U.exe","0x00403565","FUN_00403565","1933","fun","C2","S1-host","sc3_app_init_services","main service-init; copies cmdline (FUN_00468cb1); GetService 0x22b9da43/0xa2c72982 ->+0x3c; FUN_0040b6d1; sc3_ui_init_theme FUN_0040efd8; new(0x44)/FUN_00443688 ->+0x3d; new(0xf40)/FUN_0041311f ->+0x41; -sound:off/-music:off (FUN_00469755, off @0x4f4c34) -> audio vf+0x14(0x3e9,..); -intro:off -> app[0x11]->vf+0x14; registers sc3dbssprite (FUN_0040d592)/sc3imageinfo (FUN_0040d64a); returns success byte to param_1+0xe"
"SC3U.exe","0x00403cf2","FUN_00403cf2","28","fun","C0","","",""
"SC3U.exe","0x00403d0e","thunk_FUN_0043f9e1","5","thunk","thunk","","",""
"SC3U.exe","0x00403d13","FUN_00403d13","42","fun","C0","","",""
"SC3U.exe","0x00403d3d","FUN_00403d3d","28","fun","C0","","",""
"SC3U.exe","0x00403d59","thunk_FUN_0043f9e1","5","thunk","thunk","","",""
"SC3U.exe","0x00403ef9","FUN_00403ef9","345","fun","C0","","",""
"SC3U.exe","0x00404052","FUN_00404052","311","fun","C2","S15","sc3_updater_load_settings","builds <base>\Updater\UpdateSettings.ini (s_Updater_004f4c60, sep 0x5c, s_UpdateSettings_ini_004f4c4c); FUN_0047b98f existence check; FUN_00407017 service vt+0x48 -> FUN_00468cb1; reads section 'UpdaterApp' (s_UpdaterApp_004f4c40) via FUN_00469755 [CONFIRMED @0x00404052]"
"SC3U.exe","0x00404189","FUN_00404189","311","fun","C0","","",""
"SC3U.exe","0x004042c0","FUN_004042c0","617","fun","C0","","",""
"SC3U.exe","0x00404529","FUN_00404529","622","fun","C0","","",""
"SC3U.exe","0x00404797","FUN_00404797","470","fun","C2","host-updater","sc3_updater_query_check_results","calls sc3_updater_load_settings FUN_00404052; reads keys UpdateName(0x4f4d34)/Settings(0x4f4d28) via FUN_00471f0d, then Check-Results(0x4f4d18) via FUN_0047152a into local_18; returns true only if both reads succeed and result!=0"
"SC3U.exe","0x0040496d","FUN_0040496d","1555","fun","C2","S1-host","sc3_app_start_singleinstance","SetErrorMode(0x8003); creates 'SimCity 3000 Mutex' (FUN_0047ed35); if instance exists and -restart:on absent -> FindWindowExA(Gonzo/SimCity 3000)+SetForegroundWindow+ShowWindow(9); else UpdateMutexName wait loop (3x FUN_0047e203(1000000)); SetResolution vf+0xdc {0x280,0x1e0 | 800,600 by tier +0xe8}, bpp local_44=0x10; sets 'Apps\SC3U.exe'; new(0xb40)->FUN_00408a23; -sound:off -> audio vf+0x14(0)"
"SC3U.exe","0x00404f80","FUN_00404f80","154","fun","C0","","",""
"SC3U.exe","0x00405092","FUN_00405092","1824","fun","C2","UNKNOWN","","[U-007] builds 5 string-resource keys (idx 0x8e/0x8c/0x90/0xa0/0x126 grp 0x209e6378) via FUN_00484b6d; QueryInterface-shape vtable+0xc(0x42fbf1d7,0x818565ba); _strnicmp on resolved name; [UNCERTAIN] no subsystem anchor"
"SC3U.exe","0x004057b2","FUN_004057b2","184","fun","C0","","",""
"SC3U.exe","0x0040586a","FUN_0040586a","1405","fun","C0","","",""
"SC3U.exe","0x00405de7","FUN_00405de7","311","fun","C2","S18-data","sc3_text_scan_language_dirs","loops i=1..0x2b (43); city/region svc FUN_0047048f vf+0x38(&buf,i) enumerates entry; builds '<entry>\\'+'SC3StringsApp.IXF' under 'Res\\Text\\' (PTR_004f4ae8/004f4aec); FUN_0047b98f file-exists; if present vf+0x14(i) selects it"
"SC3U.exe","0x00405f1e","FUN_00405f1e","1","fun","C0","","",""
"SC3U.exe","0x00405f1f","FUN_00405f1f","571","fun","C0","","",""
"SC3U.exe","0x00406173","FUN_00406173","196","fun","C0","","",""
"SC3U.exe","0x00406237","FUN_00406237","57","fun","C0","","",""
"SC3U.exe","0x00406287","FUN_00406287","104","fun","C0","","",""
"SC3U.exe","0x00406347","FUN_00406347","86","fun","C0","","",""
"SC3U.exe","0x004063d6","FUN_004063d6","229","fun","C0","","",""
"SC3U.exe","0x004064bb","FUN_004064bb","51","fun","C0","","",""
"SC3U.exe","0x004064ee","FUN_004064ee","969","fun","C2","S15","","[U-007] builds text path from 'Res\Text\' @0x004f4be0; on failure shows modal via FUN_004703a7 vtable+0xac, tests dialog result 0x53018147; keys idx 0x2c/0x2b grp 0x15e410c; [UNCERTAIN] dialog identity"
"SC3U.exe","0x0040698b","FUN_0040698b","635","fun","C0","","",""
"SC3U.exe","0x00406c06","FUN_00406c06","135","fun","C0","","",""
"SC3U.exe","0x00406c8d","FUN_00406c8d","75","fun","C0","","",""
"SC3U.exe","0x00406cd8","FUN_00406cd8","21","fun","C0","","",""
"SC3U.exe","0x00406ced","FUN_00406ced","60","fun","C0","","",""
"SC3U.exe","0x00406d29","FUN_00406d29","27","fun","C0","","",""
"SC3U.exe","0x00406d44","FUN_00406d44","75","fun","C0","","",""
"SC3U.exe","0x00406d8f","FUN_00406d8f","72","fun","C0","","",""
"SC3U.exe","0x00406dd7","FUN_00406dd7","12","fun","C0","","",""
"SC3U.exe","0x00406de3","FUN_00406de3","41","fun","C0","","",""
"SC3U.exe","0x00406e0c","FUN_00406e0c","33","fun","C0","","",""
"SC3U.exe","0x00406e2d","FUN_00406e2d","47","fun","C0","","",""
"SC3U.exe","0x00406e5c","Catch@00406e5c","6","lib","lib","","",""
"SC3U.exe","0x00406e62","FUN_00406e62","33","fun","C0","","",""
"SC3U.exe","0x00406e83","FUN_00406e83","47","fun","C0","","",""
"SC3U.exe","0x00406eb2","Catch@00406eb2","6","lib","lib","","",""
"SC3U.exe","0x00406eb8","FUN_00406eb8","33","fun","C2","S15","sc3_gz_construct_string_manager","[S15-B] piVar1=thunk_FUN_0045d5ae() (global framework DAT_004fab74); (*(*piVar1+0x10))(0x801998e4, 0x1995e7, param_1) @0x00406ec6 -- GZCOM GetService CLSID 0x801998e4 / IID 0x1995e7 = the string-table service. Implementation is NOT in SC3U.exe (see U-008)"
"SC3U.exe","0x00406ed9","FUN_00406ed9","47","fun","C0","","",""
"SC3U.exe","0x00406f08","Catch@00406f08","6","lib","lib","","",""
"SC3U.exe","0x00406f0e","FUN_00406f0e","12","fun","C0","","",""
"SC3U.exe","0x00406f1a","FUN_00406f1a","12","fun","C0","","",""
"SC3U.exe","0x00406f26","FUN_00406f26","91","fun","C0","","",""
"SC3U.exe","0x00406f81","FUN_00406f81","49","fun","C0","","",""
"SC3U.exe","0x00406fb2","FUN_00406fb2","80","fun","C0","","",""
"SC3U.exe","0x00407002","FUN_00407002","21","fun","C0","","",""
"SC3U.exe","0x00407017","FUN_00407017","43","fun","C0","","",""
"SC3U.exe","0x0040704a","FUN_0040704a","149","fun","C0","","",""
"SC3U.exe","0x004070df","Catch@004070df","32","lib","lib","","",""
"SC3U.exe","0x004070ff","FUN_004070ff","186","fun","C0","","",""
"SC3U.exe","0x004071b9","Catch@004071b9","9","lib","lib","","",""
"SC3U.exe","0x004071c2","FUN_004071c2","52","fun","C0","","",""
"SC3U.exe","0x004071f6","FUN_004071f6","76","fun","C0","","",""
"SC3U.exe","0x00407242","FUN_00407242","273","fun","C0","","",""
"SC3U.exe","0x00407353","FUN_00407353","42","fun","C0","","",""
"SC3U.exe","0x0040737d","FUN_0040737d","50","fun","C0","","",""
"SC3U.exe","0x004073af","FUN_004073af","171","fun","C0","","",""
"SC3U.exe","0x0040745a","FUN_0040745a","90","fun","C0","","",""
"SC3U.exe","0x004074b4","Catch@004074b4","33","lib","lib","","",""
"SC3U.exe","0x004074d5","FUN_004074d5","54","fun","C0","","",""
"SC3U.exe","0x0040750b","FUN_0040750b","74","fun","C0","","",""
"SC3U.exe","0x00407543","Catch@00407543","31","lib","lib","","",""
"SC3U.exe","0x00407574","FUN_00407574","80","fun","C0","","",""
"SC3U.exe","0x004077b5","FUN_004077b5","937","fun","C0","","",""
"SC3U.exe","0x00407b5e","FUN_00407b5e","142","fun","C0","","",""
"SC3U.exe","0x00407bec","FUN_00407bec","627","fun","C0","","",""
"SC3U.exe","0x00407e5f","FUN_00407e5f","144","fun","C0","","",""
"SC3U.exe","0x00407f00","FUN_00407f00","32","fun","C0","","",""
"SC3U.exe","0x00407f20","thunk_FUN_004088cf","5","thunk","thunk","","",""
"SC3U.exe","0x00407f25","FUN_00407f25","154","fun","C0","","",""
"SC3U.exe","0x00407fbf","FUN_00407fbf","147","fun","C0","","",""
"SC3U.exe","0x00408052","FUN_00408052","684","fun","C0","","",""
"SC3U.exe","0x004082fe","FUN_004082fe","1044","fun","C0","","",""
"SC3U.exe","0x00408712","FUN_00408712","25","fun","C0","","",""
"SC3U.exe","0x0040872b","FUN_0040872b","273","fun","C0","","",""
"SC3U.exe","0x0040883c","FUN_0040883c","90","fun","C0","","",""
"SC3U.exe","0x00408896","FUN_00408896","57","fun","C0","","",""
"SC3U.exe","0x004088cf","FUN_004088cf","57","fun","C0","","",""
"SC3U.exe","0x00408908","FUN_00408908","14","fun","C0","","",""
"SC3U.exe","0x00408916","FUN_00408916","25","fun","C0","","",""
"SC3U.exe","0x00408936","FUN_00408936","75","fun","C0","","",""
"SC3U.exe","0x004089f3","FUN_004089f3","12","fun","C0","","",""
"SC3U.exe","0x004089ff","FUN_004089ff","12","fun","C0","","",""
"SC3U.exe","0x00408a23","FUN_00408a23","917","fun","C2","S1-config","sc3_config_ctor","new(0xb40) object; vtable PTR_004cfe88 then 004cfdac/PTR_004cfd98; stores 'SC3.cfg' (PTR_004f4f1c) at +0x2c9; memset(+0x4a,-1,0x20) and memset(+0x2a,0,0x800); FUN_00484611 reads tier byte+4 -> sets +0x25/+0x26/+0x27 to (1,1,0)/(2,1,0)/(2,1,1)/(2,2,1)/(3,2,1) for <2/<3/<4/<5/>=5"
"SC3U.exe","0x00408db8","FUN_00408db8","35","fun","C0","","",""
"SC3U.exe","0x00408ddb","FUN_00408ddb","40","fun","C0","","",""
"SC3U.exe","0x00408e07","FUN_00408e07","39","fun","C0","","",""
"SC3U.exe","0x00408e2e","FUN_00408e2e","41","fun","C0","","",""
"SC3U.exe","0x00408e6f","FUN_00408e6f","74","fun","C0","","",""
"SC3U.exe","0x00408ed9","FUN_00408ed9","86","fun","C0","","",""
"SC3U.exe","0x00408f33","FUN_00408f33","86","fun","C0","","",""
"SC3U.exe","0x00409032","FUN_00409032","32","fun","C0","","",""
"SC3U.exe","0x00409052","FUN_00409052","8","fun","C0","","",""
"SC3U.exe","0x0040905a","FUN_0040905a","23","fun","C0","","",""
"SC3U.exe","0x00409071","thunk_FUN_0040aadb","5","thunk","thunk","","",""
"SC3U.exe","0x00409076","FUN_00409076","201","fun","C0","","",""
"SC3U.exe","0x00409174","FUN_00409174","307","fun","C0","","",""
"SC3U.exe","0x004092a7","FUN_004092a7","316","fun","C0","","",""
"SC3U.exe","0x004093e3","FUN_004093e3","2709","fun","C0","","",""
"SC3U.exe","0x00409e78","FUN_00409e78","2791","fun","C0","","",""
"SC3U.exe","0x0040a95f","FUN_0040a95f","44","fun","C0","","",""
"SC3U.exe","0x0040a98b","FUN_0040a98b","74","fun","C0","","",""
"SC3U.exe","0x0040a9d5","FUN_0040a9d5","127","fun","C0","","",""
"SC3U.exe","0x0040aa54","FUN_0040aa54","24","fun","C0","","",""
"SC3U.exe","0x0040aa6c","FUN_0040aa6c","25","fun","C0","","",""
"SC3U.exe","0x0040aa85","FUN_0040aa85","86","fun","C0","","",""
"SC3U.exe","0x0040aadb","FUN_0040aadb","54","fun","C0","","",""
"SC3U.exe","0x0040ab11","FUN_0040ab11","13","fun","C0","","",""
"SC3U.exe","0x0040ab1e","FUN_0040ab1e","44","fun","C0","","",""
"SC3U.exe","0x0040ab4a","FUN_0040ab4a","54","fun","C0","","",""
"SC3U.exe","0x0040ab80","FUN_0040ab80","41","fun","C0","","",""
"SC3U.exe","0x0040aba9","FUN_0040aba9","12","fun","C0","","",""
"SC3U.exe","0x0040abbc","FUN_0040abbc","49","fun","C0","","",""
"SC3U.exe","0x0040abed","FUN_0040abed","48","fun","C0","","",""
"SC3U.exe","0x0040ac1d","FUN_0040ac1d","166","fun","C0","","",""
"SC3U.exe","0x0040acc3","FUN_0040acc3","56","fun","C0","","",""
"SC3U.exe","0x0040acfb","FUN_0040acfb","139","fun","C0","","",""
"SC3U.exe","0x0040ad86","FUN_0040ad86","79","fun","C0","","",""
"SC3U.exe","0x0040add5","FUN_0040add5","43","fun","C0","","",""
"SC3U.exe","0x0040ae00","FUN_0040ae00","130","fun","C0","","",""
"SC3U.exe","0x0040ae82","FUN_0040ae82","187","fun","C0","","",""
"SC3U.exe","0x0040af3d","FUN_0040af3d","64","fun","C0","","",""
"SC3U.exe","0x0040af7d","FUN_0040af7d","64","fun","C0","","",""
"SC3U.exe","0x0040afbd","FUN_0040afbd","34","fun","C0","","",""
"SC3U.exe","0x0040b00f","FUN_0040b00f","1392","fun","C0","","",""
"SC3U.exe","0x0040b57f","FUN_0040b57f","241","fun","C0","","",""
"SC3U.exe","0x0040b670","FUN_0040b670","97","fun","C0","","",""
"SC3U.exe","0x0040b6d1","FUN_0040b6d1","144","fun","C2","S1-host","sc3_app_register_core_factories","via class-registry vf+0x1c registers 4 factories: 'cores'->FUN_0040c579, 'dbsegment'->FUN_0040c5cb, 'sysser'->FUN_0040c710, 'cogamecmd'->LAB_0040c75f; short-circuits on first failure; called by sc3_app_init_services"
"SC3U.exe","0x0040b761","FUN_0040b761","3415","fun","C3","S-boot","sc3_boot_register_all_factories","opens Sys\CitySim.ini (line213), selects [AgentTypes](l222)->FUN_0040cb70, [AgentTypeHierarchy](l230)->FUN_0040cc08; CitySim.ini packed in SYS.PAK (SYSPAK.md) || [S15-C] ALSO registers the four UI menu record types: PTR_s_SC3MenuItemInfo_004f4f6c->SC3MII, PTR_s_SC3MenuSets_004f4f70->SC3MSET, PTR_s_SC3MenuDescs_004f4f74->SC3MDESC, PTR_s_SC3MenuBtnDefs_004f4f78->SC3MBTNDEFS; opens PTR_s_Sys_MenuItem_ini_004f4f38 plus Sys\Default.ini / SYS.PAK / CitySim.ini and Res\Sprites -- it installs the S15 menu parsers as well as the sim factories"
"SC3U.exe","0x0040c4b8","FUN_0040c4b8","60","fun","C0","","",""
"SC3U.exe","0x0040c4f4","FUN_0040c4f4","133","fun","C2","S15;S16","sc3_factory_generic_magic","generic factory: magic passed as arg; SC3Menu* + SPLASH/WIN/MAINMENU bitmaps"
"SC3U.exe","0x0040c579","FUN_0040c579","82","fun","C0","","",""
"SC3U.exe","0x0040c5cb","FUN_0040c5cb","325","fun","C0","","",""
"SC3U.exe","0x0040c710","FUN_0040c710","79","fun","C0","","",""
"SC3U.exe","0x0040c7e0","FUN_0040c7e0","152","fun","C2","S16","sc3_factory_resourcefactories","ResourceFactories (magic cores)"
"SC3U.exe","0x0040c878","FUN_0040c878","152","fun","C2","S16","sc3_factory_dbsegments","DBSegments (magic dbsegment)"
"SC3U.exe","0x0040c910","FUN_0040c910","152","fun","C2","S16","sc3_factory_dbsegdirfiles","DBSegmentDirectoryFiles (magic dbdfseg)"
"SC3U.exe","0x0040c9a8","FUN_0040c9a8","152","fun","C2","S1","sc3_factory_appservices","AppServices (magic sysser)"
"SC3U.exe","0x0040ca40","FUN_0040ca40","152","fun","C2","S1","sc3_factory_gamecommands","GameCommandFactories (magic cogamecmd)"
"SC3U.exe","0x0040cad8","FUN_0040cad8","152","fun","C0","","",""
"SC3U.exe","0x0040cb70","FUN_0040cb70","152","fun","C3","S1","sc3_factory_agenttypes","per-section handler for CitySim.ini [AgentTypes]; parses 273 records <id>=<name>:0x2026960B,0x41F56C4C,0x<classGZCLSID>"
"SC3U.exe","0x0040cc08","FUN_0040cc08","152","fun","C3","S1","sc3_factory_agenttypehierarchy","per-section handler for CitySim.ini [AgentTypeHierarchy]; parses <typeId>=<parentTypeId> tree"
"SC3U.exe","0x0040cca0","FUN_0040cca0","1145","fun","C2","S18-data","sc3_plugin_scan_addons","builds 'PlugIn\\' (0x4f5210) under FUN_00470463 vf+0x20 base path; dir listing FUN_0047fa0c/FUN_00480f4a('*.DAT' 0x4f51ac)/FUN_004810e4; per file reads 'addon-enabled' (0x4f5200) key; registers 'sc3dbssprite' (PTR_004cffa8) via registry vf+0x18"
"SC3U.exe","0x0040d119","FUN_0040d119","1145","fun","C0","","",""
"SC3U.exe","0x0040d592","FUN_0040d592","184","fun","C0","","",""
"SC3U.exe","0x0040d64a","FUN_0040d64a","184","fun","C0","","",""
"SC3U.exe","0x0040d702","FUN_0040d702","13","fun","C0","","",""
"SC3U.exe","0x0040d70f","FUN_0040d70f","11","fun","C0","","",""
"SC3U.exe","0x0040d71a","thunk_FUN_0040d75a","5","thunk","thunk","","",""
"SC3U.exe","0x0040d71f","FUN_0040d71f","13","fun","C0","","",""
"SC3U.exe","0x0040d72c","FUN_0040d72c","15","fun","C0","","",""
"SC3U.exe","0x0040d73b","thunk_FUN_0040d76f","5","thunk","thunk","","",""
"SC3U.exe","0x0040d740","FUN_0040d740","26","fun","C0","","",""
"SC3U.exe","0x0040d75a","FUN_0040d75a","21","fun","C0","","",""
"SC3U.exe","0x0040d76f","FUN_0040d76f","21","fun","C0","","",""
"SC3U.exe","0x0040d78b","FUN_0040d78b","55","fun","C0","","",""
"SC3U.exe","0x0040d7c2","FUN_0040d7c2","61","fun","C0","","",""
"SC3U.exe","0x0040d7ff","FUN_0040d7ff","52","fun","C0","","",""
"SC3U.exe","0x0040d833","FUN_0040d833","173","fun","C0","","",""
"SC3U.exe","0x0040d8e0","FUN_0040d8e0","173","fun","C0","","",""
"SC3U.exe","0x0040d98d","FUN_0040d98d","47","fun","C0","","",""
"SC3U.exe","0x0040d9bc","FUN_0040d9bc","23","fun","C0","","",""
"SC3U.exe","0x0040d9d3","FUN_0040d9d3","31","fun","C0","","",""
"SC3U.exe","0x0040d9f2","FUN_0040d9f2","72","fun","C0","","",""
"SC3U.exe","0x0040da42","FUN_0040da42","44","fun","C0","","",""
"SC3U.exe","0x0040da6e","FUN_0040da6e","26","fun","C0","","",""
"SC3U.exe","0x0040dab2","FUN_0040dab2","28","fun","C0","","",""
"SC3U.exe","0x0040dace","thunk_FUN_0040dcbd","5","thunk","thunk","","",""
"SC3U.exe","0x0040dad3","FUN_0040dad3","72","fun","C0","","",""
"SC3U.exe","0x0040db1b","thunk_FUN_0040dd8d","5","thunk","thunk","","",""
"SC3U.exe","0x0040db20","FUN_0040db20","12","fun","C0","","",""
"SC3U.exe","0x0040db2c","FUN_0040db2c","3","fun","C0","","",""
"SC3U.exe","0x0040db2f","FUN_0040db2f","87","fun","C0","","",""
"SC3U.exe","0x0040db86","FUN_0040db86","76","fun","C0","","",""
"SC3U.exe","0x0040dc0c","FUN_0040dc0c","103","fun","C0","","",""
"SC3U.exe","0x0040dc73","FUN_0040dc73","74","fun","C0","","",""
"SC3U.exe","0x0040dcbd","FUN_0040dcbd","57","fun","C0","","",""
"SC3U.exe","0x0040dcf6","FUN_0040dcf6","74","fun","C0","","",""
"SC3U.exe","0x0040dd40","FUN_0040dd40","77","fun","C0","","",""
"SC3U.exe","0x0040dd8d","FUN_0040dd8d","57","fun","C0","","",""
"SC3U.exe","0x0040ddc6","FUN_0040ddc6","63","fun","C0","","",""
"SC3U.exe","0x0040de05","FUN_0040de05","14","fun","C0","","",""
"SC3U.exe","0x0040de13","FUN_0040de13","63","fun","C0","","",""
"SC3U.exe","0x0040de52","FUN_0040de52","56","fun","C0","","",""
"SC3U.exe","0x0040de8a","FUN_0040de8a","14","fun","C0","","",""
"SC3U.exe","0x0040de98","FUN_0040de98","60","fun","C0","","",""
"SC3U.exe","0x0040ded4","FUN_0040ded4","25","fun","C0","","",""
"SC3U.exe","0x0040deed","FUN_0040deed","60","fun","C0","","",""
"SC3U.exe","0x0040df29","FUN_0040df29","25","fun","C0","","",""
"SC3U.exe","0x0040df42","FUN_0040df42","99","fun","C0","","",""
"SC3U.exe","0x0040dfa5","FUN_0040dfa5","99","fun","C0","","",""
"SC3U.exe","0x0040e008","FUN_0040e008","87","fun","C0","","",""
"SC3U.exe","0x0040e05f","Catch@0040e05f","30","lib","lib","","",""
"SC3U.exe","0x0040e07d","FUN_0040e07d","87","fun","C0","","",""
"SC3U.exe","0x0040e0d4","Catch@0040e0d4","30","lib","lib","","",""
"SC3U.exe","0x0040e0f2","FUN_0040e0f2","399","fun","C0","","",""
"SC3U.exe","0x0040e281","Catch@0040e281","30","lib","lib","","",""
"SC3U.exe","0x0040e29f","FUN_0040e29f","123","fun","C0","","",""
"SC3U.exe","0x0040e31a","FUN_0040e31a","95","fun","C0","","",""
"SC3U.exe","0x0040e379","FUN_0040e379","161","fun","C0","","",""
"SC3U.exe","0x0040e41a","FUN_0040e41a","144","fun","C0","","",""
"SC3U.exe","0x0040e4aa","FUN_0040e4aa","251","fun","C0","","",""
"SC3U.exe","0x0040e5a5","FUN_0040e5a5","75","fun","C0","","",""
"SC3U.exe","0x0040e5f0","FUN_0040e5f0","399","fun","C0","","",""
"SC3U.exe","0x0040e77f","Catch@0040e77f","30","lib","lib","","",""
